,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,67.61824035644531,149.7643280029297,261.5442810058594,42.28200149536133,68.85749816894531,153.6300048828125,274.3599853515625,42.28200149536133,70.30500030517578,157.6999969482422,281.94000244140625,43.571998596191406,67.96499633789062,151.14999389648438,270.8800048828125,40.866668701171875,69.34750366210938,157.1300048828125,280.70001220703125,42.68000030517578,255598800.0,56371600,255316300.0,199837500.0
2020-03-12,60.94062423706055,135.5609588623047,236.52047729492188,37.369998931884766,62.057498931884766,139.05999755859375,248.11000061035156,37.369998931884766,67.5,153.47000122070312,266.6600036621094,39.633331298828125,62.0,138.5800018310547,247.67999267578125,36.41666793823242,63.98500061035156,145.3000030517578,256.0,38.72600173950195,418474000.0,93226400,392220700.0,283636500.0
2020-03-13,68.2418212890625,154.83352661132812,256.7397155761719,36.44133377075195,69.49250030517578,158.8300018310547,269.32000732421875,36.44133377075195,69.9800033569336,161.91000366210938,271.4800109863281,40.50466537475586,63.23749923706055,140.72999572753906,248.52000427246094,33.46666717529297,66.22250366210938,147.5,263.0899963378906,39.66666793823242,370732000.0,92727400,329566100.0,339604500.0
2020-03-16,59.46270751953125,132.01251220703125,228.6463165283203,29.67133331298828,60.5525016784668,135.4199981689453,239.85000610351562,29.67133331298828,64.7699966430664,149.35000610351562,256.8999938964844,32.9913330078125,60.0,135.0,237.36000061035156,29.47800064086914,60.48749923706055,140.0,241.17999267578125,31.299999237060547,322423600.0,87905900,297240000.0,307342500.0
2020-03-17,62.07728958129883,142.88198852539062,240.9913787841797,28.68000030517578,63.21500015258789,146.57000732421875,252.8000030517578,28.68000030517578,64.40249633789062,147.5,256.1700134277344,31.456666946411133,59.599998474121094,135.0,237.07000732421875,26.399999618530273,61.877498626708984,140.0,245.0399932861328,29.333999633789062,324056000.0,81059800,262070500.0,359919000.0
2020-03-18,60.557647705078125,136.8672332763672,228.78932189941406,24.08133316040039,61.66749954223633,140.39999389648438,240.0,24.08133316040039,62.5,146.0,248.3699951171875,26.99066734313965,59.279998779296875,135.02000427246094,228.02000427246094,23.367332458496094,59.942501068115234,138.0,236.25,25.933332443237305,300233600.0,81593200,327597100.0,356793000.0
2020-03-19,60.09364700317383,139.119140625,229.2754669189453,28.50933265686035,61.19499969482422,142.7100067138672,240.50999450683594,28.50933265686035,63.209999084472656,150.14999389648438,247.3800048828125,30.133333206176758,60.65250015258789,139.0,232.22000122070312,23.8973331451416,61.84749984741211,142.77000427246094,239.25,24.979999542236328,271857200.0,85922700,289322000.0,452932500.0
2020-03-20,56.278560638427734,133.8939666748047,219.39500427246094,28.50200080871582,57.310001373291016,137.35000610351562,228.8000030517578,28.50200080871582,62.95750045776367,147.10000610351562,244.47000122070312,31.799999237060547,57.0,135.86000061035156,228.5,28.38599967956543,61.79499816894531,146.0,242.52999877929688,29.213333129882812,401693200.0,84866200,347158800.0,424282500.0
2020-03-23,55.08298110961914,132.55845642089844,213.78549194335938,28.952667236328125,56.092498779296875,135.97999572753906,222.9499969482422,28.952667236328125,57.125,140.57000732421875,229.67999267578125,29.46666717529297,53.15250015258789,132.52000427246094,218.25999450683594,27.366666793823242,57.02000045776367,137.00999450683594,228.19000244140625,28.906667709350586,336752800.0,78975200,326025200.0,246817500.0
2020-03-24,60.60919952392578,144.60745239257812,233.1551513671875,33.66666793823242,61.720001220703125,148.33999633789062,243.14999389648438,33.66666793823242,61.92250061035156,149.60000610351562,244.10000610351562,34.24599838256836,58.57500076293945,141.27000427246094,233.8000030517578,31.600000381469727,59.09000015258789,143.75,234.4199981689453,31.81999969482422,287531200.0,82516700,235494500.0,343428000.0
